A4GALT	NM_017436
NS3BP	NR_046316
NSFP1	NR_033799
NSG1	NM_001040101
NSUN4	NM_199044
NSUN5P2	NM_198853
NT5C1B-RDH14	NM_001199103
NTN5	NM_145807
NTRK3-AS1	NR_038229
NUDT1	NM_198949
NUDT16L1	NM_032349
NUDT16P1	NR_002949
NUDT9P1	NR_002779
NUP210L	NM_207308
NUP210P1	NR_034158
NUPL1	NM_014089
NUPL2	NM_007342
NUPR1L	NM_001145712
NUTM2A	NM_001099338
NXF4	NR_002216
NXNL2	NM_001161625
NXT2	NM_018698
OACYLP	NR_024021
OASL	NM_003733
OAZ1	NM_004152
OAZ2	NM_002537
OAZ3	NM_016178
OBFC1	NM_024928
OBP2A	NM_014582
OBP2B	NM_014581
OCIAD1	NM_001168254
OCLM	NM_022375
OCM	NM_001097622
OCM2	NM_006188
ODAM	NM_017855
ODF3B	NM_001014440
OGFOD2	NM_024623
OGFR-AS1	NR_102430
OIP5-AS1	NR_026757
OMD	NM_005014
OOEP	NM_001080507
OPA1-AS1	NR_046634
OR10A2	NM_001004460
OR10A3	NM_001003745
OR10A5	NM_178168
OR10A6	NM_001004461
OR10AD1	NM_001004134
OR10AG1	NM_001005491
OR10G3	NM_001005465
OR10G4	NM_001004462
OR10G7	NM_001004463
OR10G8	NM_001004464
OR10H2	NM_013939
OR10H3	NM_013938
OR10J3	NM_001004467
OR10K1	NM_001004473
OR10R2	NM_001004472
OR10S1	NM_001004474
OR10V2P	NR_045005
OR10Z1	NM_001004478
OR11A1	NM_013937
OR11G2	NM_001005503
OR11H1	NM_001005239
OR11H12	NM_001013354
OR11H2	NM_001197287
OR11H4	NM_001004479
OR12D2	NM_013936
OR13C3	NM_001001961
OR13D1	NM_001004484
OR13J1	NM_001004487
OR14I1	NM_001004734
OR14J1	NM_030946
OR1B1	NM_001004450
OR1C1	NM_012353
OR1D2	NM_002548
OR1D4	NR_033795
OR1F2P	NR_002169
OR1G1	NM_003555
OR1J2	NM_054107
OR1L3	NM_001005234
OR1L6	NM_001004453
OR1L8	NM_001004454
OR1M1	NM_001004456
OR1S1	NM_001004458
OR2A1	NM_001005287
OR2A12	NM_001004135
OR2A14	NM_001001659
OR2A2	NM_001005480
OR2A5	NM_012365
OR2A7	NM_001005328
OR2AE1	NM_001005276
OR2AG2	NM_001004490
OR2AP1	NM_001258285
OR2AT4	NM_001005285
OR2C3	NM_198074
OR2D2	NM_003700
OR2D3	NM_001004684
OR2F1	NM_012369
OR2F2	NM_001004685
OR2G6	NM_001013355
OR2H1	NM_030883
OR2H2	NM_007160
OR2J2	NM_030905
OR2K2	NM_205859
OR2L13	NM_175911
OR2L1P	NR_002145
OR2L2	NM_001004686
OR2L3	NM_001004687
OR2L5	NM_001258284
OR2M1P	NR_002141
OR2M3	NM_001004689
OR2M4	NM_017504
OR2T10	NM_001004693
OR2T11	NM_001001964
OR2T12	NM_001004692
OR2T27	NM_001001824
OR2T29	NM_001004694
OR2T35	NM_001001827
OR2T4	NM_001004696
OR2T6	NM_001005471
OR2T8	NM_001005522
OR2V1	NM_001258283
OR2V2	NM_206880
OR2W1	NM_030903
OR2W5	NM_001004698
OR2Y1	NM_001001657
OR3A2	NM_002551
OR3A3	NM_012373
OR3A4P	NR_024128
OR4A15	NM_001005275
OR4A16	NM_001005274
OR4A47	NM_001005512
OR4C11	NM_001004700
OR4C15	NM_001001920
OR4C45	NM_001005513
OR4D1	NM_012374
OR4D10	NM_001004705
OR4D2	NM_001004707
OR4D5	NM_001001965
OR4D6	NM_001004708
OR4D9	NM_001004711
OR4E2	NM_001001912
OR4F13P	NR_046417
OR4F15	NM_001001674
OR4F16	NM_001005277
OR4F17	NM_001005240
OR4F21	NM_001005504
OR4F29	NM_001005277
OR4F4	NM_001004195
OR4F5	NM_001005484
OR4F6	NM_001005326
OR4K1	NM_001004063
OR4K13	NM_001004714
OR4K14	NM_001004712
OR4K15	NM_001005486
OR4K17	NM_001004715
OR4K2	NM_001005501
OR4K5	NM_001005483
OR4M2	NM_001004719
OR4N3P	NR_028067
OR4N5	NM_001004724
OR4P4	NM_001004124
OR4Q3	NM_172194
OR4S2	NM_001004059
OR4X2	NM_001004727
OR51A4	NM_001005329
OR51A7	NM_001004749
OR51B5	NM_001005567
OR51D1	NM_001004751
OR51F1	NM_001004752
OR51F2	NM_001004753
OR51G2	NM_001005238
OR51I1	NM_001005288
OR51I2	NM_001004754
OR51L1	NM_001004755
OR51M1	NM_001004756
OR51S1	NM_001004758
OR51T1	NM_001004759
OR51V1	NM_001004760
OR52A1	NM_012375
OR52A5	NM_001005160
OR52B2	NM_001004052
OR52E4	NM_001005165
OR52E8	NM_001005168
OR52H1	NM_001005289
OR52I2	NM_001005170
OR52K1	NM_001005171
OR52N1	NM_001001913
OR52N5	NM_001001922
OR52W1	NM_001005178
OR56A1	NM_001001917
OR56A3	NM_001003443
OR56A4	NM_001005179
OR5A1	NM_001004728
OR5A2	NM_001001954
OR5AK2	NM_001005323
OR5AK4P	NR_036445
OR5AN1	NM_001004729
OR5AP2	NM_001002925
OR5AS1	NM_001001921
OR5B12	NM_001004733
OR5B2	NM_001005566
OR5B21	NM_001005218
OR5B3	NM_001005469
OR5C1	NM_001001923
OR5D18	NM_001001952
OR5E1P	NR_027711
OR5H1	NM_001005338
OR5H14	NM_001005514
OR5H15	NM_001005515
OR5H2	NM_001005482
OR5K1	NM_001004736
OR5K2	NM_001004737
OR5M1	NM_001004740
OR5M10	NM_001004741
OR5M11	NM_001005245
OR5M3	NM_001004742
OR5M8	NM_001005282
OR5P2	NM_153444
OR5P3	NM_153445
OR5T1	NM_001004745
OR5T2	NM_001004746
OR5T3	NM_001004747
OR5V1	NM_030876
OR6A2	NM_003696
OR6B1	NM_001005281
OR6C2	NM_054105
OR6C4	NM_001005494
OR6C6	NM_001005493
OR6C65	NM_001005518
OR6C74	NM_001005490
OR6C75	NM_001005497
OR6F1	NM_001005286
OR6K3	NM_001005327
OR6K6	NM_001005184
OR6M1	NM_001005325
OR6N1	NM_001005185
OR6N2	NM_001005278
OR6P1	NM_001160325
OR6Q1	NM_001005186
OR6T1	NM_001005187
OR6V1	NM_001001667
OR6W1P	NR_002140
OR6X1	NM_001005188
OR6Y1	NM_001005189
OR7A10	NM_001005190
OR7A17	NM_030901
OR7A5	NM_017506
OR7C1	NM_198944
OR7D2	NM_175883
OR7E12P	NR_044999
OR7E14P	NR_045002
OR7E156P	NR_002171
OR7E24	NM_001079935
OR7E2P	NR_045004
OR7E37P	NR_002163
OR7E5P	NR_027688
OR7G2	NM_001005193
OR8B12	NM_001005195
OR8B2	NM_001005468
OR8B3	NM_001005467
OR8B4	NM_001005196
OR8B8	NM_012378
OR8D1	NM_001002917
OR8D2	NM_001002918
OR8D4	NM_001005197
OR8G1	NM_001002905
OR8G2	NM_001007249
OR8H1	NM_001005199
OR8H2	NM_001005200
OR8I2	NM_001003750
OR8J1	NM_001005205
OR8J3	NM_001004064
OR8K1	NM_001002907
OR8S1	NM_001005203
OR8U8	NM_001013356
OR9A2	NM_001001658
OR9A4	NM_001001656
OR9G4	NM_001005284
OR9G9	NM_001013358
OR9K2	NM_001005243
OR9Q2	NM_001005283
ORAOV1	NM_153451
OSBPL10	NM_017784
OSBPL10-AS1	NR_049771
OSCAR	NM_206818
OSER1-AS1	NR_038337
OSGEPL1-AS1	NR_102429
OSTCP1	NR_028496
OTUB1	NM_017670
OTUD7A	NM_130901
OTX2-AS1	NR_029385
OVCH1	NM_183378
OVCH1-AS1	NR_073170
OVCH2	NM_198185
OVOL3	NM_001270948
OXGR1	NM_080818
P2RX6	NM_005446
P2RX6P	NR_002829
PA2G4P4	NR_003284
PABPC1P2	NR_026904
PABPC3	NM_030979
PABPN1L	NM_001080487
PACRG-AS1	NR_028390
PAGE3	NR_033460
PAGE5	NM_001013435
PAK7	NM_177990
PALM2-AKAP2	NM_007203
PAN3-AS1	NR_029383
PAPD4	NM_173797
PAPD5	NM_001040284
PAPD7	NM_006999
PAPL	NM_001004318
PAR-SN	NR_022011
PAR1	NR_022009
PAR5	NR_001292
PARD6G-AS1	NR_028339
PARG	NM_003631
PARK2	NM_004562
PARPBP	NM_017915
PART1	NR_028509
PBOV1	NM_021635
PCAT1	NR_045262
PCAT4	NR_026555
PCBP1-AS1	NR_033872
PCCA-AS1	NR_047686
PCDH11Y	NM_032973
PCDH18	NM_019035
PCDH20	NM_022843
PCDH9-AS2	NR_046527
PCDH9-AS3	NR_046636
PCDHB14	NM_018934
PCDHB16	NM_020957
PCDHB17	NR_001280
PCDHB18	NR_001281
PCDHB19P	NR_001282
PCDHB3	NM_018937
PCDHB6	NM_018939
PCDHGB8P	NR_001297
PCDP1	NM_001271049
PCED1B-AS1	NR_026544
PCGEM1	NR_002769
PCMT1	NM_001252049
PCNA-AS1	NR_028370
PCNAP1	NR_028270
PCNX	NM_014982
PCNXL2	NM_014801
PCNXL3	NM_032223
PCNXL4	NM_022495
PCOLCE-AS1	NR_038910
PCSK4	NM_017573
PDCD4-AS1	NR_026932
PDCL3P4	NR_002941
PDDC1	NM_182612
PDE1A	NM_001258312
PDIA3P	NR_002305
PDLIM2	NM_021630
PDZD11	NM_016484
PDZD4	NM_032512
PEAK1	NM_024776
PEG10	NM_001172438
PEG3-AS1	NR_023847
PER4	NR_002790
PET112	NM_004564
PFN1P2	NR_003242
PFN2	NM_053024
PGA4	NM_001079808
PGAM1P5	NR_077225
PGCP1	NR_029429
PGF	NM_002632
PGM5-AS1	NR_015423
PGM5P2	NR_002836
PHACTR2	NM_001100164
PHEX-AS1	NR_046639
PHF15	NM_015288
PHF16	NM_001077445
PHF17	NM_199320
PHKA2-AS1	NR_029379
PHLDA1	NM_007350
PHTF2	NM_001127358
PI4K2A	NM_018425
PI4KB	NM_001198774
PIANP	NM_153685
PIDD	NM_145886
PIH1D2	NM_138789
PIH1D3	NM_173494
PILRB	NM_178238
PIN1P1	NR_023916
PIN4P1	NR_003571
PINLYP	NM_001193621
PIP4K2B	NM_003559
PIP5K1P1	NR_027712
PIPSL	NR_002319
PISRT1	NR_027070
PITPNA-AS1	NR_028514
PITPNM2	NM_020845
PITRM1-AS1	NR_038284
PKD1P1	NM_006985
PKI55	NR_037701
PKNOX2	NM_022062
PLA2G16	NM_001128203
PLA2G2C	NM_001105572
PLAC1L	NM_173801
PLAC4	NM_182832
PLCE1-AS1	NR_033969
PLEKHA8P1	NR_037144
PLEKHB2	NM_001267062
PLEKHG6	NM_018173
PLEKHM1P	NR_024386
PLEKHS1	NM_182601
PLGLA	NR_003506
PLK1S1	NM_018474
PLSCR2	NM_001199979
PLSCR5	NM_001085420
PMCHL2	NR_003922
PMF1-BGLAP	NM_001199661
PMS2P1	NR_003613
PMS2P3	NR_028059
PMS2P5	NR_027775
PNLIPRP2	NM_005396
PNMA3	NM_013364
PNMA6C	NM_032882
PNMA6D	NM_032882
PNMAL1	NM_018215
PNMAL2	NM_020709
PNPLA5	NM_138814
PODNL1	NM_001146254
POLD2	NM_006230
POLI	NM_007195
POLR2H	NM_006232
POLR2J	NM_006234
POM121L10P	NR_024593
POM121L1P	NR_024591
POM121L2	NM_033482
POM121L4P	NR_024592
POMZP3	NM_012230
POPDC2	NM_022135
POTEC	NM_001137671
POTED	NM_174981
POTEE	NM_001083538
POTEI	NM_001277406
POTEJ	NM_001277083
POU2F2	NM_001207025
POU5F1B	NM_001159542
POU5F1P3	NR_036440
POU5F1P4	NR_034180
POU6F1	NM_002702
POU6F2-AS1	NR_046711
PP12613	NR_024365
PP14571	NR_024014
PPAN-P2RY11	NM_001040664
PPAP2A	NM_176895
PPAP2B	NM_003713
PPAP2C	NM_177543
PPAPDC1A	NM_001030059
PPAPDC1B	NM_001102559
PPAPDC2	NM_203453
PPAPDC3	NM_032728
PPBPP2	NR_026769
PPIAL4D	NM_001164262
PPIAL4G	NM_001123068
PPIAP30	NR_036506
PPIEL	NR_003929
PPM1J	NM_005167
PPM1N	NM_001080401
PPP1R16A	NM_032902
PPP1R1C	NM_001261424
PPP1R2P3	NR_038443
PPP1R2P9	NR_002191
PPP1R42	NM_001013626
PPP2R2B-IT1	NR_047115
PPP2R4	NM_178001
PPP4R1	NM_001042388
PPP5D1	NM_001205281
PPP6R3	NM_001164160
PPT2-EGFL8	NM_030652
PPY2	NR_002181
PQLC1	NM_025078
PQLC2	NM_017765
PQLC3	NM_152391
PRAC	NM_032391
PRAMEF16	NM_001045480
PRAMEF19	NM_001099850
PRAMEF20	NM_001099852
PRAMEF22	NM_001100631
PRAMEF3	NM_001100631
PRAMEF5	NM_001010889
PRAMEF8	NM_001012276
PRAMEF9	NM_001010890
PRB1	NM_199353
PRC1-AS1	NR_051984
PRDM11	NM_001256695
PRDM7	NM_001098173
PRELID2	NM_205846
PRG1	NR_026881
PRHOXNB	NM_001105577
PRICKLE2-AS1	NR_045697
PRICKLE2-AS2	NR_046701
PRICKLE2-AS3	NR_046702
PRKAG2-AS1	NR_038926
PRKCDBP	NM_145040
PRKCQ-AS1	NR_036502
PRKG1-AS1	NR_038277
PRKG2	NM_006259
PRKRIR	NM_004705
PRKXP1	NR_073405
PRKY	NR_028062
PRMT10	NM_138364
PRNT	NR_024267
PROL1	NM_021225
PRORSD1P	NR_027258
PROSC	NM_007198
PROSER2-AS1	NR_038222
PRPF40B	NM_001031698
PRPS1L1	NM_175886
PRR19	NM_199285
PRR21	NM_001080835
PRR24	NM_178511
PRR25	NM_001013638
PRR26	NR_027152
PRR7-AS1	NR_038915
PRRC2C	NM_015172
PRRT3-AS1	NR_046734
PRRT4	NM_001174164
PRSS3	NM_007343
PRSS3P2	NR_001296
PRSS41	NM_001135086
PRSS42	NM_182702
PRSS45	NM_199183
PRSS46	NM_001205271
PRSS48	NM_183375
PRSS53	NM_001039503
PRUNE	NM_021222
PSG10P	NR_026824
PSIMCT-1	NR_003677
PSMA8	NM_144662
PSMD6-AS2	NR_038286
PSORS1C3	NR_026816
PSPN	NM_004158
PSRC1	NM_032636
PSTK	NM_153336
PTCHD2	NM_020780
PTCHD4	NM_001013732
PTCSC3	NR_049735
PTENP1	NR_023917
PTGES3L-AARSD1	NM_001136042
PTGR2	NM_001146154
PTMA	NM_001099285
PTOV1-AS1	NR_040037
PTPLA	NM_014241
PTPLAD1	NM_016395
PTPLAD2	NM_001010915
PTPLB	NM_198402
PTPN20B	NM_001042389
PTPN7	NM_001199797
PTPRE	NM_006504
PTRF	NM_012232
PTTG3P	NR_002734
PTX4	NM_001013658
PUM2	NM_015317
PURG	NM_013357
PUS7L	NM_001098614
PVRIG	NM_024070
PVRL1	NM_002855
PVRL2	NM_001042724
PVRL3	NM_015480
PVRL3-AS1	NR_045114
PVRL4	NM_030916
PVT1	NR_003367
PWRN1	NR_026646
PWRN2	NR_026647
PXN-AS1	NR_038924
PYCRL	NM_023078
PYGO1	NM_015617
PYY2	NR_003064
QARS	NM_005051
QPRT	NM_014298
QTRTD1	NM_001256835
R3HCC1	NM_001136108
R3HCC1L	NM_001256619
R3HDM1	NM_015361
RAB11B-AS1	NR_038237
RAB12	NM_001025300
RAB36	NM_004914
RAB42	NM_001193532
RAB7L1	NM_001135662
RAB9BP1	NR_000039
RABGAP1L	NM_014857
RABL2A	NM_013412
RABL5	NM_022777
RACGAP1P	NR_026583
RAD21-AS1	NR_033886
RAD51-AS1	NR_040058
RAD51AP2	NM_001099218
RAET1E	NM_139165
RAET1K	NR_024045
RALGPS2	NM_152663
RAMP2-AS1	NR_024461
RAP1GAP	NM_001145658
RAPGEF4-AS1	NR_026995
RARRES3	NM_004585
RARS	NM_002887
RASA4CP	NM_006989
RAVER2	NM_018211
RBAKDN	NR_015343
RBFADN	NR_103445
RBM12B	NM_203390
RBM12B-AS1	NR_027259
RBM26-AS1	NR_038991
RBM41	NM_018301
RBM44	NM_001080504
RBMY1A3P	NR_001547
RBMY1F	NM_152585
RBMY2EP	NR_001574
RBMY2FP	NR_002193
RCAN2	NM_001251974
RCAN3AS	NR_045408
RCBTB2	NM_001268
RCC1	NM_001048194
REG1P	NR_002714
REPIN1	NM_001099695
REREP3	NR_033735
RETNLB	NM_032579
REXO1L1	NM_172239
REXO1L2P	NM_172239
RFC4	NM_002916
RFPL1	NM_021026
RFPL1S	NR_002727
RFPL2	NM_001098527
RFPL3S	NR_002596
RFPL4A	NM_001145014
RFWD2	NM_022457
RGAG1	NM_020769
RGAG4	NM_001024455
RGL4	NM_153615
RGMB-AS1	NR_033932
RGPD6	NM_001123363
RGS13	NM_144766
RGS4	NM_001102445
RGS8	NM_033345
RHBDL1	NM_003961
RHPN1-AS1	NR_026785
RIC8A	NM_021932
RILPL2	NM_145058
RIMBP2	NM_015347
RLTPR	NM_001013838
RMDN2-AS1	NR_102712
RMST	NR_024037
RNASE10	NM_001012975
RNASE11	NM_145250
RNASE12	NM_001024822
RNASE3	NM_002935
RNASE9	NM_001001673
RNASEH2B-AS1	NR_046552
RNF126P1	NR_002818
RNF138P1	NR_001575
RNF144A-AS1	NR_033997
RNF157-AS1	NR_040017
RNF183	NM_145051
RNF187	NM_001010858
RNF19B	NM_153341
RNF208	NM_031297
RNF216-IT1	NR_046834
RNF217	NM_152553
RNF219	NM_024546
RNF222	NM_001146684
RNF32	NM_001184997
RNF39	NM_025236
RNF5P1	NR_003129
RNFT2	NM_001109903
RNMTL1	NM_018146
RNU11	NR_004407
RNU12	NR_029422
RNU5E-1	NR_002755
RNU5F-1	NR_002753
RNU6-16P	NR_046486
RNU6-19P	NR_046487
RNU6-28P	NR_046489
RNU6-34P	NR_046492
RNU6-52P	NR_046927
RNU6-53P	NR_046928
RNU6-57P	NR_046931
RNU6-64P	NR_046935
RNU6-66P	NR_046936
RNU6-67P	NR_046937
RNU6-71P	NR_046940
RNU6-76P	NR_046943
RNU6-78P	NR_046944
RNU6-81P	NR_046946
RNU6ATAC	NR_023344
RNY4	NR_004393
RNY5	NR_001571
ROCK1P1	NR_033770
ROPN1L-AS1	NR_102746
RPL13AP17	NR_003680
RPL13AP20	NR_003932
RPL13AP3	NR_004844
RPL13AP6	NR_026715
RPL13P5	NR_002803
RPL17-C18orf32	NM_001199355
RPL19P12	NR_026660
RPL21P44	NR_027153
RPL23AP32	NR_002229
RPL23AP64	NR_003040
RPL23AP7	NR_024528
RPL23P8	NR_026673
RPL29P2	NR_002778
RPL31P11	NR_002595
RPL32P3	NR_003111
RPL34	NM_000995
RPL36A-HNRNPH2	NM_001199974
RPL6	NM_000970
RPL8	NM_000973
RPLP0P2	NR_002775
RPPH1	NR_002312
RPS10-NUDT3	NM_001202470
RPS10P7	NR_026667
RPS14P3	NR_077246
RPS15AP10	NR_026768
RPS16P5	NR_046241
RPS17L	NM_001199057
RPS18P9	NR_077247
RPS26P11	NR_002309
RPS2P32	NR_026676
RPS6KA2-IT1	NR_046793
RPS7P5	NR_036695
RPSAP52	NR_026825
RPSAP58	NM_002295
RPSAP9	NR_026890
RQCD1	NM_001271634
RRN3P1	NR_003370
RRN3P2	NR_003369
RRN3P3	NR_027460
RSC1A1	NM_006511
RSF1	NM_016578
RSG1	NM_030907
RSPH10B	NM_173565
RSU1P2	NR_024472
RTDR1	NM_014433
RTF1	NM_015138
RTFDC1	NM_016407
RTP2	NM_001004312
RUFY4	NM_198483
RUNDC3B	NM_138290
RUNX1-IT1	NR_026812
RUSC1-AS1	NM_001039517
RYBP	NM_012234
S100A13	NM_001024211
S100A5	NM_002962
S100A7L2	NM_001045479
SAA2-SAA4	NM_001199744
SAA3P	NR_026576
SACS-AS1	NR_103450
SAGE1	NM_018666
SAMD1	NM_138352
SAMD12	NM_207506
SAMD12-AS1	NR_038210
SAMD15	NM_001010860
SAMD4B	NM_018028
SAMSN1-AS1	NR_046512
SAP18	NM_005870
SAP30L-AS1	NR_037897
SARS	NM_006513
SATB2-AS1	NR_026830
SBDSP1	NR_024110
SBF1P1	NR_027765
SBF2-AS1	NR_036485
SCAND1	NM_033630
SCAND3	NM_052923
SCARNA1	NR_002997
SCARNA10	NR_004387
SCARNA11	NR_003012
SCARNA12	NR_003010
SCARNA14	NR_004388
SCARNA15	NR_003011
SCARNA16	NR_003013
SCARNA17	NR_003003
SCARNA18	NR_003139
SCARNA2	NR_003023
SCARNA20	NR_002999
SCARNA21	NR_003000
SCARNA22	NR_003004
SCARNA23	NR_003007
SCARNA27	NR_003703
SCARNA3	NR_002998
SCARNA4	NR_003005
SCARNA5	NR_003008
SCARNA6	NR_003006
SCARNA7	NR_003001
SCARNA8	NR_003009
SCARNA9	NR_002569
SCARNA9L	NR_023358
SCGB1B2P	NR_027620
SCGB2B2	NM_001025591
SCGB2B3P	NR_045208
SCMH1	NM_001172219
SCXB	NM_001080514
SDC4P	NR_001580
SDCBP2-AS1	NR_040048
SDCCAG3	NM_001039707
SDPR	NM_004657
SDR16C5	NM_138969
SDR39U1	NM_020195
SEBOX	NM_001080837
SEC14L1P1	NR_026952
SEC14L6	NM_001193336
SEC1P	NR_004401
SEC24B-AS1	NR_039978
SELK	NM_021237
SELM	NM_080430
SELO	NM_031454
SELRC1	NM_023077
SELT	NM_016275
SELV	NM_182704
SEMA4B	NM_198925
SENP3-EIF4A1	NM_001204510
SEP15	NM_203341
SEPN1	NM_206926
SEPP1	NM_005410
SEPT1	NM_052838
SEPT10	NM_144710
SEPT11	NM_018243
SEPT12	NM_144605
SEPT14	NM_207366
SEPT2	NM_006155
SEPT3	NM_145733
SEPT4	NM_004574
SEPT6	NM_015129
SEPT7	NM_001242956
SEPT7P9	NR_027269
SEPT8	NM_001098811
SEPT9	NM_001113491
SEPW1	NM_003009
SERBP1	NM_001018067
SERF1A	NM_022978
SERF2	NM_001199875
SERINC4	NM_001258031
SERPINA13P	NR_015340
SERPINB12	NM_080474
SERPINE3	NM_001101320
SERPINI2	NM_001012303
SERTAD4-AS1	NR_024337
SESN1	NM_014454
SETD5-AS1	NR_027007
SETD8	NM_020382
SETMAR	NM_006515
SF1	NM_001178030
SF3B14	NM_016047
SFR1	NM_001002759
SFTA1P	NR_027082
SFTA3	NM_001101341
SFXN3	NM_030971
SGK110	NM_001199824
SGK196	NM_001277971
SGK223	NM_001080826
SGOL1	NM_001012410
SGOL1-AS1	NR_046723
SGOL2	NM_152524
SH2B2	NM_020979
SH2D4B	NM_207372
SH2D6	NM_198482
SH2D7	NM_001101404
SH3BGR	NM_007341
SH3BP5-AS1	NR_046084
SH3D19	NM_001009555
SH3GL1P1	NR_033412
SH3GL1P2	NR_033420
SH3PXD2A-AS1	NR_038940
SH3RF3-AS1	NR_029193
SHANK2-AS1	NR_046567
SHANK2-AS3	NR_073536
SHC2	NM_012435
SHF	NM_138356
SHFM1	NM_006304
SHISA7	NM_001145176
SHISA8	NM_001207020
SIGLEC16	NR_002825
SIGLEC17P	NR_047529
SIGLECL1	NM_173635
SKINTL	NR_026749
SKIV2L2	NM_015360
SKP1P2	NR_036619
SLC12A8	NM_024628
SLC13A4	NM_012450
SLC17A2	NM_005835
SLC1A6	NM_005071
SLC22A24	NM_001136506
SLC22A25	NM_199352
SLC22A31	NM_001242757
SLC24A6	NM_024959
SLC25A21-AS1	NR_033240
SLC25A3P1	NR_002314
SLC25A44	NM_014655
SLC25A45	NM_182556
SLC25A48	NM_145282
SLC25A5-AS1	NR_028443
SLC25A51P1	NR_026540
SLC26A10	NM_133489
SLC26A4-AS1	NR_028137
SLC2A1-AS1	NR_033967
SLC2A11	NM_001024939
SLC35A4	NM_080670
SLC35B3	NM_001142541
SLC35E2	NM_182838
SLC35G3	NM_152462
SLC35G6	NM_001102614
SLC38A11	NM_001199148
SLC41A2	NM_032148
SLC41A3	NM_001008485
SLC44A5	NM_152697
SLC4A1AP	NM_018158
SLC4A7	NM_003615
SLC5A11	NM_052944
SLC5A4	NM_014227
SLC6A1-AS1	NR_046647
SLC7A11-AS1	NR_038380
SLC7A5P1	NR_002593
SLC7A5P2	NR_002594
SLC8A1-AS1	NR_038441
SLC9A7P1	NR_033801
SLC9A9-AS1	NR_048544
SLED1	NR_003542
SLFN12	NM_018042
SLFNL1	NM_144990
SLFNL1-AS1	NR_037868
SLIT2-IT1	NR_037876
SLMO1	NM_006553
SLMO2	NM_016045
SMA5	NR_034021
SMAD5-AS1	NR_026763
SMCO2	NM_001145010
SMCR5	NR_024007
SMCR7	NM_148886
SMCR7L	NM_019008
SMCR9	NM_001243312
SMEK1	NM_032560
SMEK2	NM_001122964
SMEK3P	NR_002784
SMG7	NM_201569
SMG7-AS1	NR_040063
SMIM11	NM_058182
SMIM2-IT1	NR_046843
SMIM20	NM_001145432
SMIM21	NM_001037331
SMIM3	NM_032947
SMIM5	NM_001162995
SMIM7	NM_024104
SMIM9	NM_001162936
SMLR1	NM_001195597
SMTNL1	NM_001105565
SNAI3-AS1	NR_024402
SNAP25-AS1	NR_040710
SNAP47	NM_053052
SNAPC3	NM_001039697
SNAR-A1	NR_004436
SNAR-A12	NR_024216
SNAR-A3	NR_024242
SNAR-B2	NR_024231
SNAR-C2	NR_024220
SNAR-C3	NR_024221
SNAR-C4	NR_024218
SNAR-D	NR_024243
SNAR-E	NR_024258
SNAR-F	NR_004384
SNAR-G1	NR_004383
SNAR-G2	NR_024244
SNAR-H	NR_024342
SNAR-I	NR_024343
SND1-IT1	NR_027330
SNHG10	NR_003002
SNHG3	NR_036473
SNHG6	NR_002599
SNHG7	NR_003672
SNHG8	NR_003584
SNHG9	NR_003142
SNORA10	NR_002327
SNORA11	NR_002953
SNORA11B	NR_003709
SNORA11C	NR_003710
SNORA11D	NR_102368
SNORA12	NR_002954
SNORA13	NR_002922
SNORA14A	NR_002955
SNORA14B	NR_002956
SNORA15	NR_002957
SNORA16B	NR_004389
SNORA18	NR_002959
SNORA19	NR_002917
SNORA20	NR_002960
SNORA21	NR_002576
SNORA22	NR_002961
SNORA23	NR_002962
SNORA24	NR_002963
SNORA26	NR_003016
SNORA27	NR_002575
SNORA28	NR_002964
SNORA29	NR_002965
SNORA2A	NR_002950
SNORA2B	NR_002951
SNORA3	NR_002580
SNORA30	NR_002966
SNORA31	NR_002967
SNORA33	NR_002436
SNORA34	NR_031623
SNORA35	NR_002993
SNORA36A	NR_049842
SNORA36B	NR_002994
SNORA36C	NR_003705
SNORA37	NR_002970
SNORA38	NR_002971
SNORA38B	NR_003706
SNORA40	NR_002973
SNORA41	NR_002590
SNORA42	NR_002974
SNORA45	NR_002977
SNORA46	NR_002978
SNORA47	NR_003014
SNORA48	NR_002918
SNORA49	NR_002979
SNORA50	NR_002980
SNORA51	NR_002981
SNORA52	NR_002585
SNORA53	NR_003015
SNORA54	NR_002982
SNORA55	NR_002983
SNORA56	NR_002984
SNORA57	NR_004390
SNORA58	NR_002985
SNORA59A	NR_003025
SNORA59B	NR_003025
SNORA6	NR_002325
SNORA62	NR_002324
SNORA63	NR_002586
SNORA64	NR_002326
SNORA65	NR_002449
SNORA67	NR_002912
SNORA68	NR_000012
SNORA69	NR_002584
SNORA70	NR_000011
SNORA70B	NR_003707
SNORA70C	NR_003708
SNORA70D	NR_033337
SNORA70E	NR_033347
SNORA70F	NR_033309
SNORA70G	NR_033335
SNORA71A	NR_002911
SNORA71B	NR_002910
SNORA71C	NR_003017
SNORA71D	NR_003018
SNORA72	NR_002581
SNORA74A	NR_002915
SNORA74B	NR_002988
SNORA75	NR_002921
SNORA76	NR_002995
SNORA77	NR_003019
SNORA78	NR_003020
SNORA79	NR_003021
SNORA7B	NR_002992
SNORA8	NR_002920
SNORA80	NR_002996
SNORA80B	NR_028374
SNORA81	NR_002989
SNORA84	NR_003704
SNORD10	NR_002604
SNORD102	NR_002574
SNORD103A	NR_033295
SNORD104	NR_004380
SNORD105	NR_004381
SNORD105B	NR_003688
SNORD109B	NR_001295
SNORD11	NR_003031
